,scenario,dataset,val,norm_val_percent,norm_std_percent
0,0-baseline,basicmath-large,14.742181666666667,1.0,0.00023854791813149312
1,0-baseline,basicmath-small,4.566361666666666,1.0,0.00041624156284425506
2,0-baseline,bitcount-large,15.518866666666668,1.0,0.00016431822853446576
3,0-baseline,bitcount-small,1.3708183333333332,1.0,0.001270131372923533
4,0-baseline,qsort-large,18.343878333333333,1.0,0.0002454009957932879
5,0-baseline,qsort-small,1.6804899999999998,1.0,0.0009000791228354066
6,0-baseline,susanc-large,1.2449016666666666,1.0,0.002102439200304951
7,0-baseline,susanc-small,0.40536833333333333,1.0,0.0034494323017491
8,0-baseline,susane-large,2.9196266666666664,1.0,0.00027106047535252475
9,0-baseline,susane-small,0.44971999999999995,1.0,0.003212106137884918
10,0-baseline,susans-large,12.487638333333335,1.0,4.452165958546139e-05
11,0-baseline,susans-small,1.1624733333333335,1.0,0.001304629555373471
12,1-h-16,basicmath-large,13.026921666666667,1.1163504858903177,0.00020479073482415622
13,1-h-16,basicmath-small,4.001978333333334,1.1235958459999336,0.000293029673767653
14,1-h-16,bitcount-large,14.144308333333335,1.0885733709076693,0.0001123032136147728
15,1-h-16,bitcount-small,1.2368633333333332,1.0977190023963788,0.0010060916157047517
16,1-h-16,qsort-large,16.329541666666668,1.109809748520101,0.00011585620572063249
17,1-h-16,qsort-small,1.4996099999999999,1.1076352730453618,0.0005301487348898792
18,1-h-16,susanc-large,1.105318,1.1121242507775044,0.0009372973967869402
19,1-h-16,susanc-small,0.35499166666666665,1.1242738085938304,0.0037108625213971846
20,1-h-16,susane-large,2.6058683333333335,1.1074652238642382,0.0006396274424145254
21,1-h-16,susane-small,0.3958993333333334,1.1196759465148682,0.001953767748328783
22,1-h-16,susans-large,11.356971666666666,1.0905428741997254,0.00017288681724125787
23,1-h-16,susans-small,1.0448025,1.1012245442189355,0.0012869351329690693
